question_id,area,standard,question_type,question,reference_answer,generator_model,fk_grade,judge_Gemini Flash 3,judge_Nemotron 3 Super 120b a12,judge_OSS 120b,rationale_Gemini Flash 3,rationale_Nemotron 3 Super 120b a12,rationale_OSS 120b,majority_label,human_review_flag
MS-PS1-001,MS-PS1,MS-PS1-1,recall,What does a chemical formula tell you?,"A chemical formula tells you which elements are in a substance and how many atoms of each element are in one unit of that substance. For example, H₂O means there are 2 hydrogen atoms and 1 oxygen atom in one water molecule.",claude-4.6-sonnet-thinking,5.68,1,1,1,"The answer accurately explains how a chemical formula identifies the types of elements and the number of atoms present in a substance, which directly addresses the core concepts of standard MS-PS1-1.","The answer correctly explains that a chemical formula identifies the elements present and the number of each atom in a basic unit of the substance, which aligns with the standard's focus on atomic composition.","The answer correctly explains that a chemical formula indicates the elements present and the relative number of atoms of each element, which fully addresses the question.",1,0
MS-PS1-003,MS-PS1,MS-PS1-1,recall,What does the atomic symbol for an element represent?,"An atomic symbol is a one- or two-letter abbreviation used to represent an element. For example, 'O' stands for oxygen and 'Fe' stands for iron.",claude-4.6-sonnet-thinking,8.9,1,1,1,"The answer accurately defines the atomic symbol as a letter-based abbreviation for an element and provides correct examples, which is a fundamental prerequisite for modeling atomic composition.","The answer correctly states that an atomic symbol is a one- or two‑letter abbreviation representing an element, which is accurate and sufficient for the middle‑school standard.","The answer correctly states that an atomic symbol is a one- or two-letter abbreviation that represents an element, which directly answers the question.",1,0
MS-PS1-004,MS-PS1,MS-PS1-2,recall,What is a chemical reaction?,A chemical reaction is a process in which one or more substances (reactants) are changed into one or more new substances (products) with different properties.,claude-4.6-sonnet-thinking,7.6,1,1,1,"The answer accurately defines a chemical reaction and highlights the change in properties, which is central to the MS-PS1-2 standard.","The answer correctly defines a chemical reaction as the transformation of reactants into new products with different properties, which aligns with the standard's focus on observing property changes to identify reactions.","The answer correctly defines a chemical reaction, mentioning reactants turning into products with different properties, which aligns with the standard.",1,0
MS-PS1-005,MS-PS1,MS-PS1-2,recall,What is a chemical property of matter?,"A chemical property describes how a substance can change into a different substance, such as flammability (ability to burn) or reactivity with acid.",claude-4.6-sonnet-thinking,7.37,1,1,1,The answer accurately defines chemical properties by focusing on the formation of new substances and provides appropriate middle-school level examples.,The answer correctly defines a chemical property as how a substance changes into a different substance and provides appropriate examples.,The answer correctly defines a chemical property as a characteristic that describes how a substance can change into another substance and provides appropriate examples.,1,0
MS-PS1-006,MS-PS1,MS-PS1-2,recall,What is a precipitate?,A precipitate is a solid that forms and settles out of a liquid solution during a chemical reaction.,claude-4.6-sonnet-thinking,6.62,1,1,1,"The definition accurately identifies a precipitate as an insoluble solid formed during a chemical reaction, which is a key indicator of chemical change required by the standard.","The answer correctly defines a precipitate as a solid that forms and settles out of a liquid solution during a chemical reaction, which is accurate and sufficient for the middle-school standard.","The answer correctly defines a precipitate as a solid that forms and settles out of a liquid solution during a chemical reaction, which adequately addresses the question.",1,0
MS-PS1-007,MS-PS1,MS-PS1-2,recall,What is the difference between a chemical change and a physical change?,"A physical change alters the form or appearance of a substance but does not create a new substance, while a chemical change produces one or more new substances with different properties.",claude-4.6-sonnet-thinking,7.77,1,1,1,"The answer accurately defines the core distinction between physical and chemical changes by focusing on the formation of new substances, which is central to the MS-PS1-2 standard.","The answer correctly distinguishes physical and chemical changes by noting that only chemical changes produce new substances with different properties, which satisfies MS-PS1-2.","The answer correctly states that physical changes involve only form or appearance without new substances, whereas chemical changes produce new substances with different properties, fully addressing the difference.",1,0
MS-PS1-008,MS-PS1,MS-PS1-3,recall,What natural resource is plastic most commonly made from?,"Plastic is most commonly made from petroleum (crude oil), which is a fossil fuel found underground.",claude-4.6-sonnet-thinking,7.59,1,1,1,"The answer accurately identifies petroleum as the primary natural resource for plastic production, which correctly demonstrates the link between synthetic materials and natural resources as required by the standard.",The answer correctly identifies petroleum (crude oil) as the primary natural resource for most plastics and provides sufficient detail for the middle‑school level.,"The answer correctly identifies petroleum, a natural resource, as the most common source of plastic.",1,0
MS-PS1-009,MS-PS1,MS-PS1-3,recall,What is polyester made from?,Polyester is a synthetic fabric made from chemicals derived from petroleum (crude oil).,claude-4.6-sonnet-thinking,5.24,1,1,1,"The answer accurately identifies that polyester is a synthetic material derived from petroleum, a natural resource, which directly supports the primary requirement of MS-PS1-3.","The answer correctly states that polyester is a synthetic fabric derived from petroleum-based chemicals, which aligns with the standard.","The answer correctly states that polyester is made from chemicals derived from petroleum, which adequately answers the question.",1,0
MS-PS1-010,MS-PS1,MS-PS1-4,recall,What is thermal energy?,Thermal energy is the total kinetic energy of all the particles in a substance. It is related to how fast the particles are moving.,claude-4.6-sonnet-thinking,6.62,1,1,1,"The definition accurately identifies thermal energy as the total kinetic energy of particles in a substance, which is appropriate and sufficient for the MS-PS1-4 standard.","The answer correctly defines thermal energy as the total kinetic energy of a substance's particles, which aligns with the MS-PS1-4 focus on particle motion and temperature changes.","The answer correctly defines thermal energy as the total kinetic energy of a substance's particles, which is an appropriate and sufficient explanation for the standard.",1,0
MS-PS1-011,MS-PS1,MS-PS1-4,recall,What is the term for the temperature at which a solid changes into a liquid?,The temperature at which a solid changes into a liquid is called the melting point.,claude-4.6-sonnet-thinking,6.78,1,1,1,"The answer accurately identifies the melting point as the temperature where a solid transitions to a liquid, which is a core concept of phase changes in MS-PS1-4.","The answer correctly identifies the term for the temperature at which a solid changes to a liquid as the melting point, which fully addresses the question.",The answer correctly identifies the term 'melting point' for the temperature where a solid becomes a liquid.,1,0
