standard,standard_text,area,best_models,n_tied,ensemble_accuracy,runner_up_models,runner_up_ensemble,gap
MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,MS-PS1,"Nemotron 3 Nano 30ba3, OSS 120b, Gemma 4 31b",3,1.0,"OSS 20b, Mistral Small 3.1",0.963,0.037
MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,MS-PS1,"Gemma 4 31b, Llama 3.3 70b, Nemotron 3 Nano 30ba3, Mistral Small 3.1, OSS 120b, OSS 20b",6,1.0,"Granite 3.3 Instruct, Gemma 3 27b",0.857,0.143
MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,MS-PS1,"Gemma 3 27b, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b, Mistral Small 3.1",5,1.0,"Gemma 4 31b, Llama 3.3 70b",0.923,0.077
MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",MS-PS1,"Gemma 4 31b, OSS 120b, Llama 3.3 70b, Nemotron 3 Nano 30ba3, OSS 20b",5,1.0,Mistral Small 3.1,0.941,0.059
MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,MS-PS1,"Gemma 4 31b, OSS 120b, OSS 20b",3,1.0,"Mistral Small 3.1, Nemotron 3 Nano 30ba3",0.846,0.154
MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",MS-PS1,"Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b",3,1.0,"Gemma 4 31b, Llama 3.3 70b, Mistral Small 3.1",0.9,0.1
MS-PS2-1,Apply Newton's Third Law to design a solution to a problem involving the motion of two colliding objects.,MS-PS2,Gemma 4 31b,1,1.0,"OSS 120b, Gemma 3 27b, Mistral Small 3.1, Llama 3.3 70b, Nemotron 3 Nano 30ba3",0.9,0.1
MS-PS2-2,Plan an investigation to provide evidence that the change in an object's motion depends on the sum of the forces on the object and the mass of the object.,MS-PS2,"Gemma 3 27b, Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, Gemma 4 31b, OSS 20b",6,1.0,"Llama 3.3 70b, Llama 3.1 8b",0.944,0.056
MS-PS2-3,Ask questions about data to determine the factors that affect the strength of electric and magnetic forces.,MS-PS2,"OSS 120b, Gemma 4 31b, Nemotron 3 Nano 30ba3, OSS 20b",4,1.0,"Gemma 3 27b, Llama 3.3 70b, Mistral Small 3.1, Granite 3.3 Instruct",0.917,0.083
MS-PS2-4,Construct and present arguments using evidence to support the claim that gravitational interactions are attractive and depend on the masses of interacting objects.,MS-PS2,"Gemma 4 31b, Nemotron 3 Nano 30ba3",2,1.0,"OSS 120b, OSS 20b, Mistral Small 3.1, Llama 3.1 8b",0.929,0.071
MS-PS2-5,Conduct an investigation and evaluate the experimental design to provide evidence that fields exist between objects exerting forces on each other even though the objects are not in contact.,MS-PS2,"Gemma 4 31b, OSS 120b, Nemotron 3 Nano 30ba3",3,1.0,"OSS 20b, Llama 3.3 70b",0.933,0.067
MS-PS3-1,Construct and interpret graphical displays of data to describe the relationships of kinetic energy to the mass of an object and to the speed of an object.,MS-PS3,"Mistral Small 3.1, Nemotron 3 Nano 30ba3, OSS 120b, OSS 20b, Gemma 4 31b, Gemma 3 27b",6,1.0,Llama 3.3 70b,0.947,0.053
MS-PS3-2,"Develop a model to describe that when the arrangement of objects interacting at a distance changes, different amounts of potential energy are stored in the system.",MS-PS3,"Gemma 3 27b, Gemma 4 31b, Mistral Small 3.1, OSS 120b, OSS 20b, Llama 3.3 70b, Nemotron 3 Nano 30ba3",7,1.0,"Llama 3.1 8b, Granite 3.3 Instruct",0.944,0.056
MS-PS3-3,"Apply scientific principles to design, construct, and test a device that either minimizes or maximizes thermal energy transfer.",MS-PS3,"Gemma 4 31b, Nemotron 3 Nano 30ba3, Gemma 3 27b, OSS 120b",4,1.0,OSS 20b,0.955,0.045
