area,standard,question_type,question,reason,round
MS-PS1,MS-PS1-1,recall,What is an atom?,fk_grade=0.7_out_of_band,1
MS-PS1,MS-PS1-1,recall,What is a molecule?,fk_grade=3.7_out_of_band,1
MS-PS1,MS-PS1-1,recall,What is an element?,fk_grade=3.7_out_of_band,1
MS-PS1,MS-PS1-1,recall,What is a compound?,fk_grade=0.7_out_of_band,1
MS-PS1,MS-PS1-1,recall,What are the three main particles that make up an atom?,fk_grade=3.7_out_of_band,1
MS-PS1,MS-PS1-1,recall,What is a chemical bond?,fk_grade=2.9_out_of_band,1
MS-PS1,MS-PS1-2,recall,What is the law of conservation of mass?,fk_grade=3.8_out_of_band,1
MS-PS1,MS-PS1-2,recall,What does 'pH' measure?,fk_grade=3.7_out_of_band,1
MS-PS1,MS-PS1-3,recall,What is a synthetic material?,fk_grade=10.0_out_of_band,1
MS-PS1,MS-PS1-3,recall,What is nylon made from?,fk_grade=0.5_out_of_band,1
MS-PS1,MS-PS1-3,recall,What does the word 'synthetic' mean in science?,fk_grade=3.8_out_of_band,1
MS-PS1,MS-PS1-3,recall,What natural resource is most rubber originally made from?,fk_grade=10.2_out_of_band,1
MS-PS1,MS-PS1-3,recall,What is one way synthetic materials negatively impact the environment?,fk_grade=14.3_out_of_band,1
MS-PS1,MS-PS1-3,recall,What natural resource is glass made from?,fk_grade=4.0_out_of_band,1
MS-PS1,MS-PS1-4,recall,What is the difference between temperature and thermal energy?,fk_grade=10.2_out_of_band,1
MS-PS1,MS-PS1-4,recall,What are the three common states of matter?,fk_grade=2.3_out_of_band,1
MS-PS1,MS-PS1-4,recall,What is it called when a liquid changes into a gas?,fk_grade=3.7_out_of_band,1
MS-PS1,MS-PS1-4,recall,What happens to particle motion when thermal energy is removed from a substance?,fk_grade=9.4_out_of_band,1
MS-PS1,MS-PS1-4,recall,What is the boiling point of water?,fk_grade=2.3_out_of_band,1
MS-PS1,MS-PS1-4,recall,What is condensation?,fk_grade=9.2_out_of_band,1
MS-PS1,MS-PS1-5,recall,What does the law of conservation of mass state?,fk_grade=3.7_out_of_band,1
MS-PS1,MS-PS1-5,recall,What are reactants in a chemical reaction?,fk_grade=9.1_out_of_band,1
MS-PS1,MS-PS1-5,recall,Who is credited with first clearly stating and demonstrating the law of conservation of mass?,fk_grade=9.9_out_of_band,1
MS-PS1,MS-PS1-5,recall,What is an atom?,fk_grade=0.7_out_of_band,1
MS-PS1,MS-PS1-5,recall,"In a chemical equation, what do the numbers in front of a chemical formula (called coefficients) tell you?",fk_grade=11.1_out_of_band,1
MS-PS1,MS-PS1-5,recall,"If you burn a piece of wood and it seems to weigh less afterward, does mass actually disappear according to the law of conservation of mass?",fk_grade=11.8_out_of_band,1
MS-PS1,MS-PS1-6,recall,What is an exothermic reaction?,fk_grade=10.0_out_of_band,1
MS-PS1,MS-PS1-6,recall,What is an endothermic reaction?,fk_grade=10.0_out_of_band,1
MS-PS1,MS-PS1-6,recall,What does the word 'exothermic' literally mean?,fk_grade=9.1_out_of_band,1
MS-PS1,MS-PS1-6,recall,What is a hand warmer an example of — an exothermic or endothermic device?,fk_grade=10.4_out_of_band,1
MS-PS1,MS-PS1-6,recall,What is activation energy in a chemical reaction?,fk_grade=12.6_out_of_band,1
MS-PS1,MS-PS1-1,conceptual,Why do atoms bond together to form molecules instead of just staying as separate atoms?,fk_grade=9.9_out_of_band,1
MS-PS1,MS-PS1-1,conceptual,Why do scientists use models like ball-and-stick diagrams to represent molecules instead of just writing the chemical formula?,fk_grade=14.4_out_of_band,1
MS-PS1,MS-PS1-1,conceptual,How can two molecules contain the same types of atoms but still be totally different substances?,fk_grade=9.8_out_of_band,1
MS-PS1,MS-PS1-1,conceptual,"Why do some materials, like table salt or diamonds, form extended structures instead of individual molecules?",fk_grade=13.5_out_of_band,1
MS-PS1,MS-PS1-1,conceptual,Why is the ratio of atoms in a chemical formula always the same for a given substance?,fk_grade=9.8_out_of_band,1
MS-PS1,MS-PS1-1,conceptual,"Why do chemical formulas use subscript numbers, and what does it mean when there is no subscript next to an element symbol?",fk_grade=10.2_out_of_band,1
MS-PS1,MS-PS1-1,conceptual,How does the atomic composition of a molecule help explain why some molecules are similar to each other?,fk_grade=11.8_out_of_band,1
MS-PS1,MS-PS1-1,conceptual,Why do models of extended structures like salt crystals show a repeating pattern of atoms instead of a fixed small group?,fk_grade=10.0_out_of_band,1
MS-PS1,MS-PS1-2,conceptual,Why does the formation of a gas bubble when two liquids are mixed suggest a chemical reaction occurred?,fk_grade=9.8_out_of_band,1
MS-PS1,MS-PS1-2,conceptual,Why does a precipitate forming when two clear liquids are mixed indicate a chemical reaction?,fk_grade=10.7_out_of_band,1
MS-PS1,MS-PS1-2,conceptual,Why is a temperature change in a reaction mixture evidence that a chemical reaction may have occurred?,fk_grade=11.2_out_of_band,1
MS-PS1,MS-PS1-2,conceptual,"Why can't you reverse a chemical reaction just by doing the opposite physical action, like cooling something that got warm?",fk_grade=11.7_out_of_band,1
MS-PS1,MS-PS1-2,conceptual,Why do scientists measure the properties of substances both before and after mixing them to decide if a chemical reaction happened?,fk_grade=13.4_out_of_band,1
MS-PS1,MS-PS1-2,conceptual,Why is it important to know that mass is conserved even when a chemical reaction produces a gas you can't see?,fk_grade=10.0_out_of_band,1
MS-PS1,MS-PS1-2,conceptual,Why does the fact that a new substance is hard to turn back into the original materials tell you a chemical reaction occurred rather than a physical change?,fk_grade=13.9_out_of_band,1
MS-PS1,MS-PS1-2,conceptual,"Why does light being produced during a reaction, like in a glow stick, indicate a chemical reaction is happening?",fk_grade=11.7_out_of_band,1
MS-PS1,MS-PS1-3,conceptual,Why do scientists need natural resources to make synthetic materials?,fk_grade=13.1_out_of_band,1
MS-PS1,MS-PS1-3,conceptual,"Why is plastic considered a synthetic material even though it comes from oil, which is natural?",fk_grade=10.6_out_of_band,1
MS-PS1,MS-PS1-3,conceptual,How does making nylon from petroleum differ from using petroleum as a fuel?,fk_grade=11.3_out_of_band,1
MS-PS1,MS-PS1-3,conceptual,Why can synthetic materials sometimes replace natural materials in products like clothing or building supplies?,fk_grade=14.6_out_of_band,1
MS-PS1,MS-PS1-3,conceptual,How does the creation of synthetic fertilizers impact food production in society?,fk_grade=13.7_out_of_band,1
MS-PS1,MS-PS1-3,conceptual,Why does the widespread use of synthetic plastics create environmental problems?,fk_grade=11.2_out_of_band,1
MS-PS1,MS-PS1-3,conceptual,How does the process of making synthetic rubber from petroleum change the properties of the original resource?,fk_grade=12.6_out_of_band,1
MS-PS1,MS-PS1-3,conceptual,How does creating synthetic medicines from natural plant compounds benefit society?,fk_grade=15.5_out_of_band,1
MS-PS1,MS-PS1-3,conceptual,Why is it important to understand where a synthetic material originally comes from in nature?,fk_grade=13.1_out_of_band,1
MS-PS1,MS-PS1-4,conceptual,Why does a solid melt when you heat it up?,fk_grade=1.3_out_of_band,1
MS-PS1,MS-PS1-4,conceptual,Why does liquid water turn into steam when it gets hot enough?,fk_grade=4.8_out_of_band,1
MS-PS1,MS-PS1-4,conceptual,Why does a gas condense into a liquid when it is cooled down?,fk_grade=4.0_out_of_band,1
MS-PS1,MS-PS1-4,conceptual,Why does water freeze when you remove heat from it?,fk_grade=2.5_out_of_band,1
MS-PS1,MS-PS1-5,conceptual,How can two substances react to form a completely new substance if no new atoms are created?,fk_grade=9.1_out_of_band,1
MS-PS1,MS-PS1-5,conceptual,Why does iron rust weigh more than the original piece of iron if atoms are just rearranging?,fk_grade=9.1_out_of_band,1
MS-PS1,MS-PS1-5,conceptual,How does knowing that atoms are conserved help scientists predict the outcome of a chemical reaction?,fk_grade=10.6_out_of_band,1
MS-PS1,MS-PS1-5,conceptual,Why is it impossible for a chemical reaction to create or destroy atoms?,fk_grade=10.4_out_of_band,1
MS-PS1,MS-PS1-6,conceptual,Why is it important to test and modify a chemical thermal device before saying your design works?,fk_grade=10.5_out_of_band,1
MS-PS1,MS-PS1-6,conceptual,Why do endothermic chemical reactions make their surroundings feel cooler?,fk_grade=11.9_out_of_band,1
MS-PS1,MS-PS1-6,conceptual,How does the amount of reactant used in a chemical hand warmer affect how much heat it produces?,fk_grade=9.1_out_of_band,1
MS-PS1,MS-PS1-6,conceptual,Why is it safer to use a chemical reaction to release heat in a portable warmer rather than an open flame?,fk_grade=10.6_out_of_band,1
MS-PS1,MS-PS1-1,applied,"If you're modeling a molecule of table sugar (glucose, C₆H₁₂O₆) for a science project, how many atoms in total would your model need to include?",fk_grade=12.6_out_of_band,1
MS-PS1,MS-PS1-1,applied,"You see rust forming on a bicycle left in the rain. Rust is iron oxide (Fe₂O₃). If you modeled one unit of rust, how many atoms of each element would you use?",fk_grade=4.4_out_of_band,1
MS-PS1,MS-PS1-1,applied,"You add baking soda (NaHCO₃) to vinegar for a volcano experiment. Looking at just one formula unit of baking soda, how many total atoms are present and which elements are they?",fk_grade=10.6_out_of_band,1
MS-PS1,MS-PS1-1,applied,"If you wanted to build a ball-and-stick model of ammonia (NH₃), a gas used in some cleaning products, how many balls would you need and what colors would you typically use to represent each element?",fk_grade=15.3_out_of_band,1
MS-PS1,MS-PS1-1,applied,"Salt crystals are made of sodium and chlorine atoms arranged in a repeating pattern. When you look at a grain of salt, why can't you say it's made of individual NaCl 'molecules' the way water is made of H₂O molecules?",fk_grade=9.6_out_of_band,1
MS-PS1,MS-PS1-1,applied,A friend says hydrogen peroxide (H₂O₂) is 'basically the same' as water (H₂O) because they both contain hydrogen and oxygen. How does comparing their models show they are actually different substances?,fk_grade=11.0_out_of_band,1
MS-PS1,MS-PS1-2,applied,"When you mix baking soda and vinegar in a cup and bubbles form, what does the gas production tell you about whether a chemical reaction has taken place?",fk_grade=13.0_out_of_band,1
MS-PS1,MS-PS1-2,applied,You burn a piece of wood and it turns into ash and smoke. The ash weighs less than the original wood. Does that mean matter was destroyed in the reaction?,fk_grade=3.3_out_of_band,1
MS-PS1,MS-PS1-2,applied,"If you mix two clear liquids together and the mixture suddenly turns bright yellow, what does the color change suggest about whether a chemical reaction happened?",fk_grade=13.6_out_of_band,1
MS-PS1,MS-PS1-2,applied,"If antacid tablets fizz when you drop them into water, what properties would you look for before and after to determine if a chemical reaction took place?",fk_grade=13.3_out_of_band,1
MS-PS1,MS-PS1-2,applied,"When you put a glowing wood splint into a test tube and it reignites, what does that tell you about the gas inside the tube, and how does it show a chemical reaction produced something new?",fk_grade=13.5_out_of_band,1
MS-PS1,MS-PS1-3,applied,"If you are wearing a polyester jacket on a rainy day, what natural resource was most likely used to make the polyester in that jacket?",fk_grade=12.6_out_of_band,1
MS-PS1,MS-PS1-3,applied,A farmer uses a synthetic fertilizer on crops instead of natural compost. Where does the nitrogen in that synthetic fertilizer originally come from?,fk_grade=12.0_out_of_band,1
MS-PS1,MS-PS1-3,applied,"If a plastic water bottle is made from petroleum, what happens to that natural resource once it becomes plastic — can it be turned back into oil easily?",fk_grade=13.3_out_of_band,1
MS-PS1,MS-PS1-3,applied,"A hospital uses nylon sutures (stitches) to close a wound. If nylon comes from a natural resource, what resource is that and how does using nylon instead of natural thread impact patients?",fk_grade=9.1_out_of_band,1
MS-PS1,MS-PS1-3,applied,"If a city decides to pave its roads with asphalt, which comes from petroleum, what impact does this have on the natural resource supply?",fk_grade=11.0_out_of_band,1
MS-PS1,MS-PS1-3,applied,"A student wraps leftovers in plastic wrap made from petroleum-based chemicals. If the plastic is thrown in a landfill, how does that impact the environment compared to using a natural wrapping like a banana leaf?",fk_grade=9.8_out_of_band,1
MS-PS1,MS-PS1-3,applied,A clothing company makes fleece jackets from recycled plastic bottles. How does this process show the connection between a synthetic material and a natural resource?,fk_grade=10.5_out_of_band,1
MS-PS1,MS-PS1-4,applied,"If you put a chocolate bar in the freezer, how does removing thermal energy affect the particles in the chocolate?",fk_grade=10.5_out_of_band,1
MS-PS1,MS-PS1-4,applied,Why does a metal spoon get hot when you leave it in a pot of boiling soup?,fk_grade=4.2_out_of_band,1
MS-PS1,MS-PS1-4,applied,"When you spray water on a hot sidewalk on a summer day and it quickly disappears, what is happening to the water particles?",fk_grade=10.8_out_of_band,1
MS-PS1,MS-PS1-4,applied,"If you heat a sealed metal can with a small amount of water inside, what do you predict will happen to the state of the water?",fk_grade=9.5_out_of_band,1
MS-PS1,MS-PS1-4,applied,You pour hot tea into a cold glass and the outside of the glass quickly feels warm. What is happening at the particle level?,fk_grade=4.8_out_of_band,1
MS-PS1,MS-PS1-5,applied,"If you mix baking soda and vinegar in a sealed zip-lock bag, will the bag weigh more, less, or the same after the fizzing stops? Why?",fk_grade=9.1_out_of_band,1
MS-PS1,MS-PS1-5,applied,"If you set off a small firecracker inside a sealed metal box, would the box weigh more, less, or the same after the explosion?",fk_grade=9.5_out_of_band,1
MS-PS1,MS-PS1-5,applied,"A magnesium ribbon is burned in a sealed container filled with oxygen, and it turns into a white powder called magnesium oxide. Would the sealed container weigh more, less, or the same after the reaction?",fk_grade=9.4_out_of_band,1
MS-PS1,MS-PS1-5,applied,"If you toast a marshmallow over a campfire and it turns black and seems to shrink, does that mean some of its atoms were destroyed?",fk_grade=9.3_out_of_band,1
MS-PS1,MS-PS1-6,applied,"If you mix the chemicals in a hand warmer pouch and it gets hot, what type of chemical process is happening inside it?",fk_grade=9.8_out_of_band,1
MS-PS1,MS-PS1-6,applied,An instant cold pack is squeezed and placed on a sprained ankle. Why does the pack feel cold even though no ice is inside it?,fk_grade=3.0_out_of_band,1
MS-PS1,MS-PS1-6,applied,"If you designed a cold therapy pack for a sports injury, would you want the chemical reaction inside to be exothermic or endothermic, and why?",fk_grade=13.5_out_of_band,1
MS-PS2,MS-PS2-1,recall,What is Newton's Third Law of Motion?,fk_grade=2.3_out_of_band,1
MS-PS2,MS-PS2-1,recall,What does the word 'collision' mean in science?,fk_grade=3.8_out_of_band,1
MS-PS2,MS-PS2-1,recall,Do action and reaction forces cancel each other out? Why or why not?,fk_grade=4.2_out_of_band,1
MS-PS2,MS-PS2-1,recall,What is the unit used to measure force in the metric system?,fk_grade=4.8_out_of_band,1
MS-PS2,MS-PS2-1,recall,What does it mean when we say two forces are 'equal and opposite'?,fk_grade=4.9_out_of_band,1
MS-PS2,MS-PS2-1,recall,What is the difference between mass and weight?,fk_grade=3.8_out_of_band,1
MS-PS2,MS-PS2-1,recall,"When two objects collide, what happens to the total momentum of the system if no outside forces act on it?",fk_grade=9.3_out_of_band,1
MS-PS2,MS-PS2-1,recall,What is a 'net force'?,fk_grade=-1.8_out_of_band,1
MS-PS2,MS-PS2-2,recall,What is a force?,fk_grade=-2.2_out_of_band,1
MS-PS2,MS-PS2-2,recall,What is net force?,fk_grade=-2.2_out_of_band,1
MS-PS2,MS-PS2-2,recall,What is Newton's Second Law of Motion?,fk_grade=4.0_out_of_band,1
MS-PS2,MS-PS2-2,recall,What are balanced forces?,fk_grade=3.7_out_of_band,1
MS-PS2,MS-PS2-2,recall,What is acceleration?,fk_grade=13.1_out_of_band,1
MS-PS2,MS-PS2-2,recall,What is mass?,fk_grade=-2.6_out_of_band,1
MS-PS2,MS-PS2-2,recall,What unit is used to measure force?,fk_grade=2.3_out_of_band,1
MS-PS2,MS-PS2-3,recall,What is an electric force?,fk_grade=2.9_out_of_band,1
MS-PS2,MS-PS2-3,recall,What is a magnetic force?,fk_grade=2.9_out_of_band,1
MS-PS2,MS-PS2-3,recall,What are the two types of electric charge?,fk_grade=2.3_out_of_band,1
MS-PS2,MS-PS2-3,recall,What are the two poles of a magnet called?,fk_grade=1.0_out_of_band,1
MS-PS2,MS-PS2-3,recall,What happens when you bring the same poles of two magnets close together?,fk_grade=4.9_out_of_band,1
MS-PS2,MS-PS2-3,recall,How does increasing the amount of electric charge on an object affect the electric force it exerts?,fk_grade=9.8_out_of_band,1
MS-PS2,MS-PS2-3,recall,What is a magnetic field?,fk_grade=2.9_out_of_band,1
MS-PS2,MS-PS2-3,recall,What does the term 'electric field' mean?,fk_grade=2.3_out_of_band,1
MS-PS2,MS-PS2-3,recall,What is an electromagnet?,fk_grade=9.6_out_of_band,1
