question_id,area,standard,question_type,question,reference_answer,generator_model,fk_grade,judge_Gemini Flash 3,judge_Nemotron 3 Super 120b a12,judge_OSS 120b,rationale_Gemini Flash 3,rationale_Nemotron 3 Super 120b a12,rationale_OSS 120b,majority_label,human_review_flag
MS-ESS1-001,MS-ESS1,MS-ESS1-1,recall,What is the difference between a waxing and a waning moon?,"A waxing moon is getting larger or more illuminated each night, while a waning moon is getting smaller or less illuminated each night.",claude-4.6-sonnet-thinking,5.86,1,1,1,The answer accurately describes the fundamental difference between waxing and waning moon phases by correctly identifying the change in visible illumination over time.,"The answer correctly describes waxing as increasing illumination and waning as decreasing illumination, which fully addresses the question about the difference between the two.","The answer correctly explains that waxing moons increase in illumination each night and waning moons decrease, fully addressing the asked difference.",1,0
MS-ESS1-004,MS-ESS1,MS-ESS1-2,recall,What holds a galaxy together?,"Gravity holds a galaxy together. The combined gravitational attraction among all the stars, gas, dust, and other matter in the galaxy keeps it from flying apart.",claude-4.6-sonnet-thinking,7.6,1,1,1,"The answer accurately identifies gravity as the force responsible for binding a galaxy's components, which directly addresses the core concept of the MS-ESS1-2 standard.","The answer correctly states that gravity holds a galaxy together via the combined gravitational attraction of its stars, gas, dust, and other matter, which satisfies the standard's focus on gravity's role in galactic motions.","The answer correctly identifies gravity as the force that holds a galaxy together, aligning with the standard's focus on gravity's role in galactic motions.",1,0
MS-ESS1-007,MS-ESS1,MS-ESS1-3,recall,What is the order of the eight planets from closest to farthest from the Sun?,"The order is Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",claude-4.6-sonnet-thinking,5.21,1,1,1,"The answer accurately lists all eight planets in the correct orbital sequence from the Sun, which is a fundamental requirement for understanding spatial relationships in the solar system.",The reference answer correctly lists the eight planets in order from closest to farthest from the Sun.,The answer correctly lists all eight planets in the proper order from closest to farthest from the Sun.,1,0
MS-ESS1-018,MS-ESS1,MS-ESS1-1,conceptual,Why does a solar eclipse only happen during a new moon phase?,"A solar eclipse requires the Moon to pass directly between Earth and the Sun, which can only happen when the Moon is in the new moon position. At any other phase, the Moon is not lined up to block the Sun.",claude-4.6-sonnet-thinking,5.81,1,1,1,The answer correctly identifies that the specific alignment required for a solar eclipse—the Moon positioned between the Earth and the Sun—is the defining geometry of a new moon.,"The answer correctly explains that a solar eclipse requires the Moon to be directly between Earth and the Sun, which only occurs at new moon, aligning with the standard's focus on cyclic patterns.","The answer correctly states that a solar eclipse requires the Moon to be between Earth and the Sun, which only occurs at new moon, adequately addressing the question.",1,0
MS-ESS1-026,MS-ESS1,MS-ESS1-2,conceptual,Why do the planets in our solar system orbit the Sun instead of flying off into space?,"The Sun's gravity pulls on each planet, constantly bending its path into an orbit. Without gravity, the planets would travel in straight lines away from the Sun.",claude-4.6-sonnet-thinking,8.39,1,1,1,"The answer accurately explains how gravity acts as a centripetal force to keep planets in orbit, which directly addresses the core concepts of the MS-ESS1-2 standard.","The answer correctly identifies the Sun's gravitational pull as the force that keeps planets in orbit, matching the standard's focus on gravity's role in solar system motions.","The answer correctly explains that the Sun’s gravity pulls on the planets, curving their motion into an orbit rather than letting them fly away, matching the standard’s focus on gravity’s role.",1,0
MS-ESS1-032,MS-ESS1,MS-ESS1-3,conceptual,Why do the outer planets take much longer to orbit the Sun than the inner planets?,"The outer planets are much farther from the Sun, so they have a much larger orbit to travel around. They also move more slowly in their orbits because the Sun's gravitational pull is weaker at greater distances, making their orbital periods much longer.",claude-4.6-sonnet-thinking,6.88,1,1,1,The answer correctly identifies both the increased distance of the orbit and the slower orbital speed due to weaker gravity as reasons for the longer orbital periods of outer planets.,"The answer correctly explains that outer planets have larger orbits and slower speeds due to weaker solar gravity, which together account for their longer orbital periods.","The answer correctly explains that greater distance leads to a larger orbital path and slower orbital speed due to weaker solar gravity, which together lengthen orbital periods.",1,0
MS-ESS1-044,MS-ESS1,MS-ESS1-1,applied,A friend in Australia is experiencing summer in January. How is that possible if it is winter in the United States at the same time?,"It is possible because seasons are caused by Earth's axial tilt. When the Northern Hemisphere (where the U.S. is) is tilted away from the Sun in January, the Southern Hemisphere (where Australia is) is tilted toward the Sun, causing summer there.",claude-4.6-sonnet-thinking,8.17,1,1,1,The answer accurately explains that Earth's axial tilt causes opposite seasons in the Northern and Southern Hemispheres depending on which is tilted toward or away from the Sun.,"The answer correctly explains that opposite seasons result from Earth's axial tilt, matching the standard's expectation.","The answer correctly explains that opposite seasons are due to Earth's axial tilt, which is the key concept required by the standard.",1,0
MS-ESS1-049,MS-ESS1,MS-ESS1-2,applied,"If the Sun suddenly had twice as much mass, what would happen to Earth's orbit?","Earth would be pulled toward the Sun with greater gravitational force, causing it to orbit closer to the Sun and move faster in its orbit.",claude-4.6-sonnet-thinking,5.21,1,1,1,"The answer accurately describes how an increase in the Sun's mass would increase gravitational pull, resulting in a closer and faster orbit for Earth, which aligns with the physical principles required by the middle-school standard.","Doubling the Sun's mass increases gravitational pull on Earth, which would cause Earth to fall into a tighter, faster orbit, matching the expected qualitative outcome.","The answer correctly states that increased solar mass strengthens gravity, causing Earth’s orbit to move closer and the orbital speed to increase, which aligns with the expected outcome for this standard.",1,0
MS-ESS1-057,MS-ESS1,MS-ESS1-3,applied,"If Jupiter were the size of a basketball, would Earth be closer in size to a golf ball, a marble, or a grain of rice?","Earth would be closer to a marble, since Jupiter's diameter is about 11 times larger than Earth's, making Earth relatively small compared to Jupiter.",claude-4.6-sonnet-thinking,8.79,1,1,1,"The scaling ratio of approximately 11:1 is correct, and a marble (roughly 1.5-2 cm) is the most accurate representation of Earth's size relative to a basketball (roughly 24 cm).","The answer correctly uses Jupiter’s ~11× Earth diameter to scale Earth to ~0.86 inches, which is nearest to a marble among the given objects.","The answer correctly identifies a marble as the closest analogue, accurately reflecting the size ratio between Jupiter and Earth.",1,0
MS-ESS1-061,MS-ESS1,MS-ESS1-4,applied,"If you drilled straight down through Earth's crust, would you expect to find older or younger rocks as you go deeper, and why?","You would find older rocks as you go deeper because sediment layers build up over time, burying earlier layers beneath newer ones.",claude-4.6-sonnet-thinking,7.23,1,1,1,"The answer correctly identifies and explains the Law of Superposition, which is the foundational principle for using rock strata to organize Earth's history as required by the standard.","The answer correctly explains that deeper rocks are older because sediment layers accumulate over time, burying older layers beneath newer ones, which aligns with the principle of superposition expected for this standard.",The answer correctly states that deeper rocks are older and explains it using the principle of sedimentary layering and superposition.,1,0
