question_id,area,standard,question_type,question,reference_answer,generator_model,fk_grade
MS-PS1-001,MS-PS1,MS-PS1-1,recall,What does a chemical formula tell you?,"A chemical formula tells you which elements are in a substance and how many atoms of each element are in one unit of that substance. For example, H₂O means there are 2 hydrogen atoms and 1 oxygen atom in one water molecule.",claude-4.6-sonnet-thinking,5.68
MS-PS1-002,MS-PS1,MS-PS1-1,recall,What does the subscript number in a chemical formula mean?,"The subscript number in a chemical formula tells you how many atoms of that element are in one molecule. For example, the '2' in H₂O means there are 2 hydrogen atoms.",claude-4.6-sonnet-thinking,7.19
MS-PS1-003,MS-PS1,MS-PS1-1,recall,What does the atomic symbol for an element represent?,"An atomic symbol is a one- or two-letter abbreviation used to represent an element. For example, 'O' stands for oxygen and 'Fe' stands for iron.",claude-4.6-sonnet-thinking,8.9
MS-PS1-004,MS-PS1,MS-PS1-2,recall,What is a chemical reaction?,A chemical reaction is a process in which one or more substances (reactants) are changed into one or more new substances (products) with different properties.,claude-4.6-sonnet-thinking,7.6
MS-PS1-005,MS-PS1,MS-PS1-2,recall,What is a chemical property of matter?,"A chemical property describes how a substance can change into a different substance, such as flammability (ability to burn) or reactivity with acid.",claude-4.6-sonnet-thinking,7.37
MS-PS1-006,MS-PS1,MS-PS1-2,recall,What is a precipitate?,A precipitate is a solid that forms and settles out of a liquid solution during a chemical reaction.,claude-4.6-sonnet-thinking,6.62
MS-PS1-007,MS-PS1,MS-PS1-2,recall,What is the difference between a chemical change and a physical change?,"A physical change alters the form or appearance of a substance but does not create a new substance, while a chemical change produces one or more new substances with different properties.",claude-4.6-sonnet-thinking,7.77
MS-PS1-008,MS-PS1,MS-PS1-3,recall,What natural resource is plastic most commonly made from?,"Plastic is most commonly made from petroleum (crude oil), which is a fossil fuel found underground.",claude-4.6-sonnet-thinking,7.59
MS-PS1-009,MS-PS1,MS-PS1-3,recall,What is polyester made from?,Polyester is a synthetic fabric made from chemicals derived from petroleum (crude oil).,claude-4.6-sonnet-thinking,5.24
MS-PS1-010,MS-PS1,MS-PS1-4,recall,What is thermal energy?,Thermal energy is the total kinetic energy of all the particles in a substance. It is related to how fast the particles are moving.,claude-4.6-sonnet-thinking,6.62
MS-PS1-011,MS-PS1,MS-PS1-4,recall,What is the term for the temperature at which a solid changes into a liquid?,The temperature at which a solid changes into a liquid is called the melting point.,claude-4.6-sonnet-thinking,6.78
MS-PS1-012,MS-PS1,MS-PS1-4,recall,How are particles arranged differently in a solid compared to a gas?,"In a solid, particles are tightly packed and held in fixed positions, vibrating in place. In a gas, particles are far apart and move rapidly and freely in all directions.",claude-4.6-sonnet-thinking,7.77
MS-PS1-013,MS-PS1,MS-PS1-6,recall,What common household chemical is used in many instant cold packs to absorb heat?,"Ammonium nitrate is commonly used in instant cold packs because it dissolves in water through an endothermic reaction, absorbing heat and lowering the temperature.",claude-4.6-sonnet-thinking,7.57
MS-PS1-014,MS-PS1,MS-PS1-6,recall,What is the difference between heat and temperature?,"Heat is the transfer of thermal energy between objects, while temperature is a measure of the average kinetic energy of the particles in a substance. Heat flows from higher to lower temperature.",claude-4.6-sonnet-thinking,6.71
MS-PS1-015,MS-PS1,MS-PS1-1,conceptual,Why does changing the number of atoms in a molecule change what substance it is?,"The number and arrangement of atoms determines a molecule's chemical identity and properties. For example, water (H₂O) and hydrogen peroxide (H₂O₂) are both made of hydrogen and oxygen, but having a different number of oxygen atoms makes them completely different substances with different behaviors.",claude-4.6-sonnet-thinking,6.78
MS-PS1-016,MS-PS1,MS-PS1-1,conceptual,Why is it important to know both which atoms are in a molecule and how many of each type there are?,"Knowing only the types of atoms is not enough to identify a substance because many different compounds share the same elements. The exact count of each atom determines the specific molecule, its formula, and its unique properties.",claude-4.6-sonnet-thinking,7.77
MS-PS1-017,MS-PS1,MS-PS1-4,conceptual,"Why does temperature stay the same while ice is melting, even though heat is still being added?","During melting, the added thermal energy is used to break the bonds holding particles in place rather than speeding up the particles. Because temperature is a measure of average particle speed, it stays constant until all the solid has changed to liquid.",claude-4.6-sonnet-thinking,7.0
MS-PS1-018,MS-PS1,MS-PS1-4,conceptual,Why do particles in a gas move faster than particles in a solid?,"Particles in a gas have much more thermal energy than particles in a solid, which causes them to move rapidly and freely in all directions. Particles in a solid only vibrate in place because they have less energy and are held together by stronger attractive forces.",claude-4.6-sonnet-thinking,6.73
MS-PS1-019,MS-PS1,MS-PS1-4,conceptual,Why does temperature measure how fast particles are moving?,"Temperature is a measure of the average kinetic energy (energy of motion) of the particles in a substance. The faster the particles move on average, the higher the temperature of the substance.",claude-4.6-sonnet-thinking,7.59
MS-PS1-020,MS-PS1,MS-PS1-4,conceptual,Why does the same substance need different amounts of energy to melt versus to boil?,"Melting only requires enough energy for particles to move past each other while still staying close together, but boiling requires enough energy for particles to completely escape all attractive forces and spread far apart. Because overcoming all attractive forces takes more energy, boiling requires more thermal energy than melting.",claude-4.6-sonnet-thinking,7.57
