standard,standard_text,area,rank,model,first_run_accuracy,ensemble_accuracy,n_questions
MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,MS-PS1,1,Nemotron 3 Nano 30ba3,1.0,1.0,27
MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,MS-PS1,1,Gemma 4 31b,1.0,1.0,7
MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,MS-PS1,1,Gemma 3 27b,1.0,1.0,13
MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",MS-PS1,1,Gemma 4 31b,1.0,1.0,17
MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,MS-PS1,1,Gemma 4 31b,1.0,1.0,13
MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",MS-PS1,1,Nemotron 3 Nano 30ba3,1.0,1.0,10
MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,MS-PS1,2,OSS 120b,1.0,1.0,27
MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,MS-PS1,2,Llama 3.3 70b,1.0,1.0,7
MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,MS-PS1,2,Nemotron 3 Nano 30ba3,1.0,1.0,13
MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",MS-PS1,2,OSS 120b,1.0,1.0,17
MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,MS-PS1,2,OSS 120b,1.0,1.0,13
MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",MS-PS1,2,OSS 120b,1.0,1.0,10
MS-PS1-1,Develop models to describe the atomic composition of simple molecules and extended structures.,MS-PS1,3,Gemma 4 31b,0.963,1.0,27
MS-PS1-2,Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.,MS-PS1,3,Nemotron 3 Nano 30ba3,1.0,1.0,7
MS-PS1-3,Gather and make sense of information to describe that synthetic materials come from natural resources and impact society.,MS-PS1,3,OSS 120b,1.0,1.0,13
MS-PS1-4,"Develop a model that predicts and describes changes in particle motion, temperature, and state of a pure substance when thermal energy is added or removed.",MS-PS1,3,Llama 3.3 70b,0.941,1.0,17
MS-PS1-5,Develop and use a model to describe how the total number of atoms does not change in a chemical reaction and thus mass is conserved.,MS-PS1,3,OSS 20b,1.0,1.0,13
MS-PS1-6,"Undertake a design project to construct, test, and modify a device that either releases or absorbs thermal energy by chemical processes.",MS-PS1,3,OSS 20b,0.9,1.0,10
