source,item_id,run,model,area,question_type,question,reference_answer,response,llm_Gemini Flash 3,llm_Nemotron 3 Super 120b a12,llm_OSS 120b,human_score,human_notes
groundtruth,MS-ESS1-087,,,MS-ESS1,applied,"Imagine two rock layers: one that was formed during the time when the first fish appeared, and one formed when the first land plants appeared. If fish appeared before land plants, which layer would you expect to find deeper in the ground?","The layer with the first fish fossils would be found deeper because it formed earlier in Earth's history. Rock layers stack up over time, so older events are recorded in deeper layers, and the geologic time scale helps scientists put these events in order.",,1.0,1.0,1.0,,
groundtruth,MS-ESS1-048,,,MS-ESS1,applied,"It is the spring equinox today. How many hours of daylight would someone in New York City have compared to someone in Sydney, Australia on that same day?","Both cities would have approximately 12 hours of daylight and 12 hours of darkness. On the equinoxes, day and night are nearly equal in length everywhere on Earth because neither hemisphere is tilted toward or away from the Sun.",,1.0,1.0,1.0,,
groundtruth,MS-ESS1-059,,,MS-ESS1,applied,"A model shows the Moon is about 30 Earth-diameters away from Earth. If Earth's diameter in the model is 2 cm, how far apart should the Earth and Moon be placed?","The Earth and Moon should be placed about 60 cm apart, because 30 Earth-diameters × 2 cm each equals 60 cm.",,1.0,1.0,1.0,,
groundtruth,MS-ESS1-031,,,MS-ESS1,conceptual,Why do all the planets in our solar system orbit the Sun in roughly the same flat plane?,"When the solar system formed, gravity pulled a spinning cloud of gas and dust together, and the rotation caused material to flatten into a disk shape. The planets formed within that disk, so they all orbit in nearly the same plane.",,1.0,1.0,1.0,,
groundtruth,MS-ESS1-020,,,MS-ESS1,conceptual,Why is it summer in the Northern Hemisphere when it is winter in the Southern Hemisphere?,"When the Northern Hemisphere is tilted toward the Sun, it receives more direct sunlight and has summer, while the Southern Hemisphere is tilted away from the Sun and receives less direct sunlight, making it winter there.",,1.0,1.0,1.0,,
groundtruth,MS-ESS1-036,,,MS-ESS1,conceptual,Why do planets closer to the Sun move faster in their orbits than planets farther away?,"The Sun's gravitational pull is stronger on objects that are closer to it, which causes those objects to move at higher speeds to maintain their orbit. Planets farther away experience weaker gravity and travel at slower orbital speeds.",,1.0,1.0,1.0,,
groundtruth,MS-ESS1-015,,,MS-ESS1,recall,What is the largest division of time on the geologic time scale called?,The largest division of time on the geologic time scale is called an eon.,,1.0,1.0,1.0,,
groundtruth,MS-ESS1-097,,,MS-ESS1,recall,What does the word 'revolution' mean when talking about Earth moving around the Sun?,"Revolution is the motion of one object traveling in an orbit around another object; Earth's revolution around the Sun takes about 365.25 days, or one year.",,1.0,1.0,1.0,,
groundtruth,MS-ESS1-081,,,MS-ESS1,recall,"What is a fossil, and why are fossils useful in reading rock strata?",A fossil is the preserved remains or traces of an ancient organism found in rock. Fossils help scientists identify the age of rock layers and understand what life existed during different time periods.,,1.0,1.0,1.0,,
groundtruth,MS-ESS2-081,,,MS-ESS2,applied,Suppose ocean floor rocks close to a mid-ocean ridge are much younger than rocks farther away from the ridge. How would you use this pattern to explain how two continents on either side of that ocean ended up so far apart?,"New ocean floor is constantly created at the mid-ocean ridge as magma rises and hardens, pushing the older rock—and the continents attached to it—farther apart over time. The age pattern proves the seafloor has been spreading and separating the continents for millions of years.",,1.0,1.0,1.0,,
