question_id,area,question_type,fraction_correct,discrimination,trivial,broken
MS-ESS1-025,MS-ESS1,conceptual,0.481,0.355,0,0
MS-ESS1-076,MS-ESS1,applied,0.556,0.314,0,0
MS-ESS1-038,MS-ESS1,conceptual,0.63,0.246,0,0
MS-ESS1-057,MS-ESS1,applied,0.63,0.399,0,0
MS-ESS1-037,MS-ESS1,conceptual,0.704,0.246,0,0
MS-ESS1-054,MS-ESS1,applied,0.704,0.331,0,0
MS-ESS1-075,MS-ESS1,applied,0.704,0.367,0,0
MS-ESS1-033,MS-ESS1,conceptual,0.741,0.262,0,0
MS-ESS1-048,MS-ESS1,applied,0.741,0.21,0,0
MS-ESS1-055,MS-ESS1,applied,0.741,0.262,0,0
MS-ESS1-084,MS-ESS1,recall,0.741,0.343,0,0
MS-ESS1-045,MS-ESS1,applied,0.778,0.272,0,0
MS-ESS1-050,MS-ESS1,applied,0.778,0.314,0,0
MS-ESS1-088,MS-ESS1,conceptual,0.778,0.272,0,0
MS-ESS1-090,MS-ESS1,conceptual,0.778,0.272,0,0
MS-ESS1-094,MS-ESS1,conceptual,0.778,0.272,0,0
MS-ESS1-095,MS-ESS1,applied,0.778,0.314,0,0
MS-ESS1-032,MS-ESS1,conceptual,0.815,0.319,0,0
MS-ESS1-058,MS-ESS1,applied,0.815,0.277,0,0
MS-ESS1-063,MS-ESS1,applied,0.815,0.228,0,0
MS-ESS1-071,MS-ESS1,applied,0.815,0.355,0,0
MS-ESS1-082,MS-ESS1,applied,0.815,0.319,0,0
MS-ESS1-009,MS-ESS1,recall,0.852,0.319,0,0
MS-ESS1-019,MS-ESS1,conceptual,0.852,0.228,0,0
MS-ESS1-028,MS-ESS1,conceptual,0.852,0.228,0,0
MS-ESS1-030,MS-ESS1,conceptual,0.852,0.228,0,0
MS-ESS1-034,MS-ESS1,conceptual,0.852,0.319,0,0
MS-ESS1-039,MS-ESS1,conceptual,0.852,0.166,0,0
MS-ESS1-041,MS-ESS1,conceptual,0.852,0.277,0,0
MS-ESS1-049,MS-ESS1,applied,0.852,0.228,0,0
MS-ESS1-051,MS-ESS1,applied,0.852,0.228,0,0
MS-ESS1-060,MS-ESS1,applied,0.852,0.228,0,0
MS-ESS1-073,MS-ESS1,applied,0.852,0.228,0,0
MS-ESS1-077,MS-ESS1,applied,0.852,0.228,0,0
MS-ESS1-004,MS-ESS1,recall,0.889,0.222,0,0
MS-ESS1-006,MS-ESS1,recall,0.889,0.157,0,0
MS-ESS1-011,MS-ESS1,recall,0.889,0.157,0,0
MS-ESS1-012,MS-ESS1,recall,0.889,0.222,0,0
